czech,english,pronunciation,cefr_level,audio,language,item_order,category,block_number
spojit se,join,dʒˈɔɪn,A1,join,1,44,,
práce,job,dʒˈɑːb,A1,job,1,45,,
klenot,jewel,dʒˈuːəl,B1,jewel,1,46,,
šperky,jewellery,dʒˈuːəlɹi,A1,jewellery,1,47,,
proud,jet,dʒˈɛt,A1,jet,1,48,,
džíny,jeans,dʒˈiːnz,A1,jeans,1,49,,
bunda,jacket,dʒˈækɪt,A1,jacket,1,50,,
položka,item,ˈaɪɾəm,A1,item,1,51,,
pokud,if,ˈɪf,A1,if,1,52,,
to,it,ˈɪt,A1,it,1,53,,
je,is,ˈɪz,A1,is,1,54,,
představit se,introduce,ˌɪntɹədˈuːs,A1,introduce,1,55,,
do,into,ˈɪntʊ,A1,into,1,56,,
rozhovor,interview,ˈɪntɚvjˌuː,A1,interview,1,57,,
tazatel,interviewer,ˈɪntɚvjˌuːɚ,A1,interviewer,1,58,,
internet,internet,ˈɪntɚnˌɛt,A1,internet,1,59,,
zajímavý,interesting,ˈɪntɹɛstɪŋ,A1,interesting,1,60,,
zajímá se,interested,ˈɪntɹɛstᵻd,A1,interested,1,61,,
uvnitř,inside,ɪnsˈaɪd,A1,inside,1,62,,
informace,information,ˌɪnfɚmˈeɪʃən,A1,information,1,63,,
v,in,ˈɪn,A1,in,1,64,,
důležité,important,ɪmpˈɔːɹtənt,A1,important,1,65,,
ostrov,island,ˈaɪlənd,A1,island,1,66,,
skrýt,hide,hˈaɪd,A1,hide,1,67,,
její,hers,hˈɜːz,A1,hers,1,68,,
kytara,guitar,ɡɪtˈɑːɹ,A1,guitar,1,69,,
host,guest,ɡˈɛst,A1,guest,1,70,,
hádat,guess,ɡˈɛs,B1,guess,1,71,,
odhad,guess,ɡˈɛs,A1,guess,1,72,,
růst,grow,ɡɹˈoʊ,A1,grow,1,73,,
seskupit,group,ɡɹˈuːp,B1,group,1,74,,
skupina,group,ɡɹˈuːp,A1,group,1,75,,
země,ground,ɡɹˈaʊnd,A1,ground,1,76,,
pozdravit,greet,ɡɹˈiːt,A1,greet,1,77,,
zelený,green,ɡɹˈiːn,A1,green,1,78,,
nezkušený,green,ɡɹˈiːn,A2,green,1,79,,
velký,great,ɡɹˈeɪt,A1,great,1,80,,
šedý,grey,ɡɹˈeɪ,A1,grey,1,81,,
tráva,grass,ɡɹˈæs,A1,grass,1,82,,
hroznový,grape,ɡɹˈeɪp,A1,grape,1,83,,
chlap,guy,ɡˈaɪ,A1,guy,1,84,,
rodič,parent,pˈɛɹənt,A1,parent,1,85,,
prarodič,grandparent,ɡɹˈændpɛɹənt,A1,grandparent,1,86,,
matka,mother,mˈʌðɚ,A1,mother,1,87,,
babička,grandmother,ɡɹˈændmʌðɚ,A1,grandmother,1,88,,
babička,grandma,ɡɹˈændmɑː,A1,grandma,1,89,,
otec,father,fˈɑːðɚ,A1,father,1,90,,
dědeček,grandfather,ɡɹˈændfɑːðɚ,A1,grandfather,1,91,,
gramatika,grammar,ɡɹˈæmɚ,A1,grammar,1,92,,
stupeň,grade,ɡɹˈeɪd,B2,grade,1,93,,
svah,grade,ɡɹˈeɪd,A1,grade,1,94,,
dobrý,good,ɡˈʊd,A1,good,1,95,,
dobrou noc,good night,ɡˈʊd nˈaɪt,A1,good_night,1,96,,
dobré ráno,good morning,ɡˈʊd mˈɔːɹnɪŋ,A1,good_morning,1,97,,
poté,after,ˈæftɚ,A1,after,1,98,,
dobré odpoledne,good afternoon,ɡˈʊd ˌæftɚnˈuːn,A1,good_afternoon,1,99,,
zlato,gold,ɡˈoʊld,A1,gold,1,100,,
gól,goal,ɡˈoʊl,A1,goal,1,101,,
jít,go,ɡˈoʊ,A1,go,1,102,,
dědeček,grandpa,ɡɹˈændpɑː,A1,grandpa,1,103,,
ahoj,hi,hˈaɪ,A1,hi,1,104,,
návyk,habit,hˈæbɪt,A1,habit,1,105,,
vlasy,hair,hˈɛɹ,A1,hair,1,106,,
zde,here,hˈɪɹ,A1,here,1,107,,
pomoc,help,hˈɛlp,A2,help,1,108,,
pomáhat,help,hˈɛlp,A1,help,1,109,,
ahoj,hello,həlˈoʊ,A1,hello,1,110,,
těžký,heavy,hˈɛvi,A1,heavy,1,111,,
srdce,heart,hˈɑːɹt,A1,heart,1,112,,
slyšet,hear,hˈɪɹ,A1,hear,1,113,,
zdraví,health,hˈɛlθ,A1,health,1,114,,
zdravý,healthy,hˈɛlθi,A1,healthy,1,115,,
hlava,head,hˈɛd,A1,head,1,116,,
řídit (organizaci),head,hˈɛd,A2,head,1,117,,
bolest,ache,ˈeɪk,B1,ache,1,118,,
bolest hlavy,headache,hˈɛdeɪk,A1,headache,1,119,,
čepice,hat,hˈæt,A1,hat,1,120,,
tvrdý,hard,hˈɑːɹd,A1,hard,1,121,,
náročný,hard,hˈɑːɹd,A1,hard,1,122,,
šťastný,happy,hˈæpi,A1,happy,1,123,,
stát se,happen,hˈæpən,A1,happen,1,124,,
ruka,hand,hˈænd,A1,hand,1,125,,
hezký (muž),handsome,hˈændsʌm,A1,handsome,1,126,,
hamburger,hamburger,hˈæmbɜːɡɚ,A1,hamburger,1,127,,
sál,hall,hˈɔːl,A1,hall,1,128,,
sekat,cut,kˈʌt,A1,cut,1,129,,
střih,cut,kˈʌt,B1,cut,1,130,,
sestřih (vlasů),haircut,hˈɛɹkʌt,A1,haircut,1,131,,
skákat,jump,dʒˈʌmp,B2,jump,1,132,,
skok,jump,dʒˈʌmp,A1,jump,1,133,,
jen,just,dʒˈʌst,A1,just,1,134,,
minuta,minute,mˈɪnɪt,A1,minute,1,135,,
moje,mine,mˈaɪn,A1,mine,1,136,,
mysl,mind,mˈaɪnd,A1,mind,1,137,,
mléko,milk,mˈɪlk,A1,milk,1,138,,
střední,middle,mˈɪdəl,A1,middle,1,139,,
zpráva,message,mˈɛsɪdʒ,A1,message,1,140,,
veselý,merry,mˈɛɹi,A1,merry,1,141,,
paměť,memory,mˈɛmɚɹi,A1,memory,1,142,,
setkat se,meet,mˈiːt,A1,meet,1,143,,
jednání,meeting,mˈiːɾɪŋ,A1,meeting,1,144,,
lék,medicine,mˈɛdəsən,A1,medicine,1,145,,
maso,meat,mˈiːt,A1,meat,1,146,,
minout,miss,mˈɪs,A1,miss,1,147,,
slečna,Miss,mˈɪs,A1,miss,1,148,,
střední,mean,mˈiːn,A1,mean,1,149,,
může,may,mˈeɪ,A1,may,1,150,,
být,be,bˈiː,A1,be,1,151,,
hmota,matter,mˈæɾɚ,A1,matter,1,152,,
záležitost,matter,mˈæɾɚ,A2,matter,1,153,,
matematika,maths,mˈæθs,A1,maths,1,154,,
zápasit,match,mˈætʃ,B1,match,1,155,,
zápas,match,mˈætʃ,A1,match,1,156,,
mapa,map,mˈæp,A1,map,1,157,,
mnoho,many,mˈɛni,A1,many,1,158,,
udělat,make,mˈeɪk,A1,make,1,159,,
jídlo,meal,mˈiːl,A1,meal,1,160,,
pošta,mail,mˈeɪl,A1,mail,1,161,,
pohyblivý,mobile,mˈoʊbəl,A1,mobile,1,162,,
telefonovat,phone,fˈoʊn,A1,phone,1,163,,
telefon,phone,fˈoʊn,A1,phone,1,164,,
mobilní telefon,mobile phone,mˈoʊbəl fˈoʊn,A1,mobile_phone,1,165,,
jmenovat,name,nˈeɪm,B1,name,1,166,,
jméno,name,nˈeɪm,A1,name,1,167,,
hudba,music,mjˈuːzɪk,A1,music,1,168,,
hudebník,musician,mjuːzˈɪʃən,A1,musician,1,169,,
maminka,mum,mˈʌm,A1,mum,1,170,,
mnoho,much,mˈʌtʃ,A1,much,1,171,,
paní,Mrs,mˈɪsɪz,A1,mrs,1,172,,
pan,Mr,mˈɪstɚ,A1,mr,1,173,,
film,movie,mˈuːvi,A1,movie,1,174,,
pohybovat,move,mˈuːv,A2,move,1,175,,
pohyb,move,mˈuːv,A1,move,1,176,,
ústa,mouth,mˈaʊθ,A1,mouth,1,177,,
většina,most,mˈoʊst,A1,most,1,178,,
více,more,mˈɔːɹ,A1,more,1,179,,
měsíc (na obloze),moon,mˈuːn,A1,moon,1,180,,
měsíc (kalendářní),month,mˈʌnθ,A1,month,1,181,,
opice,monkey,mˈʌŋki,A1,monkey,1,182,,
peníze,money,mˈʌni,A1,money,1,183,,
maminka,mommie,mˈɑːmi,A1,mommie,1,184,,
okamžik,moment,mˈoʊmənt,A1,moment,1,185,,
maminka,mom,mˈɑːm,A1,mom,1,186,,
hora,mountain,mˈaʊntɪn,A1,mountain,1,187,,
časopis,magazine,mˌæɡɐzˈiːn,A1,magazine,1,188,,
stroj,machine,məʃˈiːn,A1,machine,1,189,,
učit se,learn,lˈɜːn,A1,learn,1,190,,
list (na stromě),leaf,lˈiːf,A1,leaf,1,191,,
vést,lead,lˈiːd,A2,lead,1,192,,
vůdce,leader,lˈiːdɚ,A1,leader,1,193,,
líný,lazy,lˈeɪzi,A1,lazy,1,194,,
smát se,laugh,lˈæf,A1,laugh,1,195,,
smích,laugh,lˈæf,B1,laugh,1,196,,
pozdě,late,lˈeɪt,A1,late,1,197,,
později,later,lˈeɪɾɚ,A1,later,1,198,,
poslední,last,lˈæst,A2,last,1,199,,
příjmení,last name,lˈæst nˈeɪm,A1,last_name,1,200,,
velký,large,lˈɑːɹdʒ,A1,large,1,201,,
jazyk,language,lˈæŋɡwɪdʒ,A1,language,1,202,,
dáma,lady,lˈeɪdi,A1,lady,1,203,,
opustit,leave,lˈiːv,A1,leave,1,204,,
vědět,know,nˈoʊ,A1,know,1,205,,
koleno,knee,nˈiː,A1,knee,1,206,,
papírový drak,kite,kˈaɪt,A1,kite,1,207,,
kuchyně,kitchen,kˈɪtʃən,A1,kitchen,1,208,,
políbit,kiss,kˈɪs,B1,kiss,1,209,,
polibek,kiss,kˈɪs,A1,kiss,1,210,,
král,king,kˈɪŋ,A1,king,1,211,,
laskavý,kind,kˈaɪnd,A1,kind,1,212,,
zabít,kill,kˈɪl,A1,kill,1,213,,
dítě,kid,kˈɪd,A1,kid,1,214,,
kopnout,kick,kˈɪk,A1,kick,1,215,,
kop,kick,kˈɪk,A1,kick,1,216,,
klíč,key,kˈiː,A1,key,1,217,,
zachovat,keep,kˈiːp,A1,keep,1,218,,
vlevo,left,lˈɛft,A1,left,1,219,,
noha,leg,lˈɛɡ,A1,leg,1,220,,
lekce,lesson,lˈɛsən,A1,lesson,1,221,,
oběd,lunch,lˈʌntʃ,A1,lunch,1,222,,
čas,time,tˈaɪm,A1,time,1,223,,
čas oběda,lunchtime,lˈʌntʃtaɪm,A2,lunchtime,1,224,,
štěstí,luck,lˈʌk,A1,luck,1,225,,
mít štěstí,lucky,lˈʌki,A1,lucky,1,226,,
milovat,love,lˈʌv,A1,love,1,227,,
láska,love,lˈʌv,A1,love,1,228,,
půvabný,lovely,lˈʌvli,A1,lovely,1,229,,
milenec,lover,lˈʌvɚ,A2,lover,1,230,,
hodně,lot,lˈɑːt,A1,lot,1,231,,
dívat se,look,lˈʊk,A1,look,1,232,,
vzhled,look,lˈʊk,A1,look,1,233,,
dlouhý,long,lˈɔŋ,A1,long,1,234,,
dlouho,long,lˈɔŋ,A2,long,1,235,,
osamělý,lonely,lˈoʊnli,A1,lonely,1,236,,
žít,live,lˈaɪv,B1,live,1,237,,
živý,live,lˈaɪv,A1,live,1,238,,
živobytí,living,lˈɪvɪŋ,A1,living,1,239,,
pokoj,room,ɹˈuːm,A1,room,1,240,,
obývací pokoj,living room,lˈɪvɪŋ ɹˈuːm,A1,living_room,1,241,,
malý,little,lˈɪɾəl,B1,little,1,242,,
málo,little,lˈɪɾəl,A1,little,1,243,,
poslouchat,listen,lˈɪsən,A1,listen,1,244,,
vypsat,list,lˈɪst,B2,list,1,245,,
seznam,list,lˈɪst,A1,list,1,246,,
lev,lion,lˈaɪən,A1,lion,1,247,,
řádka,line,lˈaɪn,B2,line,1,248,,
nařádkovat,line,lˈaɪn,A1,line,1,249,,
lilie,lily,lˈɪli,A1,lily,1,250,,
mít rád,like,lˈaɪk,A1,like,1,251,,
jako,like,lˈaɪk,A1,like,1,252,,
světlý,light,lˈaɪt,A1,light,1,253,,
světlo,light,lˈaɪt,A1,light,1,254,,
rozsvítit,light,lˈaɪt,B1,light,1,255,,
knihovna,library,lˈaɪbɹɛɹi,A1,library,1,256,,
dopis,letter,lˈɛɾɚ,A1,letter,1,257,,
nechat,let,lˈɛt,A1,let,1,258,,
sklo,glass,ɡlˈæs,A1,glass,1,259,,
národ,nation,nˈeɪʃən,A2,nation,1,260,,
národní,national,nˈæʃənəl,A2,national,1,261,,
národnost,nationality,nˌæʃənˈælᵻɾi,A1,nationality,1,262,,
dát,give,ɡˈɪv,A1,give,1,263,,
tancovat,dance,dˈæns,A1,dance,1,264,,
tanec,dance,dˈæns,A1,dance,1,265,,
táta,dad,dˈæd,A1,dad,1,266,,
tatínek,daddy,dˈædi,A1,daddy,1,267,,
roztomilý,cute,kjˈuːt,A1,cute,1,268,,
pohár,cup,kˈʌp,A1,cup,1,269,,
kultura,culture,kˈʌltʃɚ,A1,culture,1,270,,
plakat,cry,kɹˈaɪ,A1,cry,1,271,,
výkřik,cry,kɹˈaɪ,A2,cry,1,272,,
karta,card,kˈɑːɹd,A1,card,1,273,,
kredit,credit,kɹˈɛdɪt,A2,credit,1,274,,
kreditní karta,credit card,kɹˈɛdɪt kˈɑːɹd,A1,credit_card,1,275,,
kráva,cow,kˈaʊ,A1,cow,1,276,,
pokrýt,cover,kˈʌvɚ,A1,cover,1,277,,
kurs,course,kˈɔːɹs,A1,course,1,278,,
gauč,couch,kˈaʊtʃ,A1,couch,1,279,,
opravit,correct,kɚɹˈɛkt,A1,correct,1,280,,
správný,correct,kɚɹˈɛkt,B2,correct,1,281,,
správně,correctly,kɚɹˈɛktli,A2,correctly,1,282,,
roh,corner,kˈɔːɹnɚ,A1,corner,1,283,,
kukuřice,corn,kˈɔːɹn,A1,corn,1,284,,
kopírovat,copy,kˈɑːpi,A2,copy,1,285,,
kopie,copy,kˈɑːpi,A1,copy,1,286,,
policajt,cop,kˈɑːp,A1,cop,1,287,,
ochladit,cool,kˈuːl,A1,cool,1,288,,
chladný,cool,kˈuːl,B2,cool,1,289,,
chladič,cooler,kˈuːlɚ,A2,cooler,1,290,,
vařit,cook,kˈʊk,A1,cook,1,291,,
kuchař,cook,kˈʊk,A1,cook,1,292,,
vaření,cooking,kˈʊkɪŋ,A2,cooking,1,293,,
sušenka,cookie,kˈʊki,A1,cookie,1,294,,
bratranec,cousin,kˈʌzən,A1,cousin,1,295,,
sestřenice,cousin,kˈʌzən,A1,cousin,1,296,,
hovořit,converse,kˈɑːnvɜːs,C2,converse,1,297,,
rozhovor,conversation,kɑːnvɚsˈeɪʃən,A1,conversation,1,298,,
tmavý,dark,dˈɑːɹk,A1,dark,1,299,,
dcera,daughter,dˈɔːɾɚ,A1,daughter,1,300,,
dolů,down,dˈaʊn,A1,down,1,301,,
dole,down,dˈaʊn,B2,down,1,302,,
na zemi,down,dˈaʊn,A2,down,1,303,,
dveře,door,dˈɔːɹ,A1,door,1,304,,
dolar,dollar,dˈɑːlɚ,A1,dollar,1,305,,
panenka,doll,dˈɑːl,A1,doll,1,306,,
dělat,do,dˈuː,A1,do,1,307,,
dělá,does,dˈʌz,A1,does,1,308,,
dělání,doing,dˈuːɪŋ,A1,doing,1,309,,
pes,dog,dˈɑːɡ,A1,dog,1,310,,
jídlo,dish,dˈɪʃ,A1,dish,1,311,,
diskutovat,discuss,dɪskˈʌs,A1,discuss,1,312,,
špína,dirt,dˈɜːt,B1,dirt,1,313,,
špinavý,dirty,dˈɜːɾi,A1,dirty,1,314,,
večeře,dinner,dˈɪnɚ,A1,dinner,1,315,,
datum,date,dˈeɪt,A1,date,1,316,,
jídelna,dining room,dˈaɪnɪŋ ɹˈuːm,A1,dining_room,1,317,,
obtížný,difficult,dˈɪfɪkəlt,A1,difficult,1,318,,
jiný,different,dˈɪfɹənt,A1,different,1,319,,
rozdíl,difference,dˈɪfɹəns,A1,difference,1,320,,
slovník,dictionary,dˈɪkʃənˌɛɹi,A1,dictionary,1,321,,
stůl,desk,dˈɛsk,A1,desk,1,322,,
navrhovat,design,dɪzˈaɪn,B1,design,1,323,,
design,design,dɪzˈaɪn,A1,design,1,324,,
popsat,describe,dᵻskɹˈaɪb,A1,describe,1,325,,
vynikající,delicious,dᵻlˈɪʃəs,A1,delicious,1,326,,
milý,dear,dˈɪɹ,A1,dear,1,327,,
kopat,dig,dˈɪɡ,A1,dig,1,328,,
vykopávka,dig,dˈɪɡ,B1,dig,1,329,,
drama,drama,dɹˈɑːmə,A1,drama,1,330,,
soutěžit,contest,kˈɑːntɛst,C1,contest,1,331,,
soutěž,contest,kˈɑːntɛst,A1,contest,1,332,,
vypočítat,compute,kəmpjˈuːt,B2,compute,1,333,,
počítač,computer,kəmpjˈuːɾɚ,A1,computer,1,334,,
kino,cinema,sˈɪnəmə,A1,cinema,1,335,,
kostel,church,tʃˈɜːtʃ,A1,church,1,336,,
vybrat,choose,tʃˈuːz,A1,choose,1,337,,
čokoláda,chocolate,tʃˈɑːklət,A1,chocolate,1,338,,
kuře,chicken,tʃˈɪkɪn,A1,chicken,1,339,,
sýr,cheese,tʃˈiːz,A1,cheese,1,340,,
kontrola,check,tʃˈɛk,A1,check,1,341,,
charakter,character,kˈæɹɪktɚ,A1,character,1,342,,
změnit,change,tʃˈeɪndʒ,A1,change,1,343,,
drobné (mince),change,tʃˈeɪndʒ,A1,change,1,344,,
židle,chair,tʃˈɛɹ,A1,chair,1,345,,
kruh,circle,sˈɜːkəl,A1,circle,1,346,,
kroužit,circle,sˈɜːkəl,B1,circle,1,347,,
slavit,celebrate,sˈɛləbɹˌeɪt,A1,celebrate,1,348,,
oslava,celebration,sˌɛləbɹˈeɪʃən,A1,celebration,1,349,,
hrát,play,plˈeɪ,A1,play,1,350,,
hra,play,plˈeɪ,A1,play,1,351,,
hráč,player,plˈeɪɚ,A1,player,1,352,,
CD,CD,sˌiːdˈiː,A1,cd,1,353,,
CD přehrávač,CD player,sˌiːdˈiː plˈeɪɚ,A1,cd_player,1,354,,
chytit,catch,kˈætʃ,A1,catch,1,355,,
úlovek,catch,kˈætʃ,A1,catch,1,356,,
kočka,cat,kˈæt,A1,cat,1,357,,
věc,case,kˈeɪs,A1,case,1,358,,
kreslený film,cartoon,kɑːɹtˈuːn,A1,cartoon,1,359,,
nést,carry,kˈæɹi,A1,carry,1,360,,
pečovat,care,kˈɛɹ,A1,care,1,361,,
péče,care,kˈɛɹ,B1,care,1,362,,
plný,full,fˈʊl,A1,full,1,363,,
opatrný,careful,kˈɛɹfəl,A1,careful,1,364,,
opatrně,carefully,kˈɛɹfəli,A1,carefully,1,365,,
koncert,concert,kˈɑːnsɚt,A1,concert,1,366,,
město,city,sˈɪɾi,A1,city,1,367,,
třída,class,klˈæs,A1,class,1,368,,
školní přednáška,class,klˈæs,C1,class,1,369,,
spolužák,classmate,klˈæsmeɪt,A1,classmate,1,370,,
přijít,come,kˈʌm,A1,come,1,371,,
barva,colour,kˈʌlɚ,A1,colour,1,372,,
vysoká škola,college,kˈɑːlɪdʒ,A1,college,1,373,,
sbírat,collect,kəlˈɛkt,A1,collect,1,374,,
sbírka,collection,kəlˈɛkʃən,A1,collection,1,375,,
nachlazení,cold,kˈoʊld,A1,cold,1,376,,
studený,cold,kˈoʊld,A1,cold,1,377,,
koks,coke,kˈoʊk,A1,coke,1,378,,
káva,coffee,kˈɔfi,A1,coffee,1,379,,
kód,code,kˈoʊd,A1,code,1,380,,
kabát,coat,kˈoʊt,A1,coat,1,381,,
trénovat,coach,kˈoʊtʃ,B2,coach,1,382,,
trenér,coach,kˈoʊtʃ,A1,coach,1,383,,
klub,club,klˈʌb,A1,club,1,384,,
mrak,cloud,klˈaʊd,A1,cloud,1,385,,
tkanina,cloth,klˈɔθ,A1,cloth,1,386,,
oblečení,clothes,klˈoʊðz,A1,clothes,1,387,,
zavřít,close,klˈoʊs,A1,close,1,388,,
blízko,close,klˈoʊs,A1,close,1,389,,
zavřeno,closed,klˈoʊzd,A1,closed,1,390,,
hodiny,clock,klˈɑːk,A1,clock,1,391,,
stoupat,climb,klˈaɪm,A1,climb,1,392,,
lezení,climbing,klˈaɪmɪŋ,A2,climbing,1,393,,
horolezec,climber,klˈaɪmɚ,B1,climber,1,394,,
chytrý,clever,klˈɛvɚ,A1,clever,1,395,,
čistit,clean,klˈiːn,A1,clean,1,396,,
čistý,clean,klˈiːn,A1,clean,1,397,,
třída,classroom,klˈæsɹuːm,A1,classroom,1,398,,
zataženo,cloudy,klˈaʊdi,A1,cloudy,1,399,,
kreslit,draw,dɹˈɔː,A1,draw,1,400,,
snít,dream,dɹˈiːm,A2,dream,1,401,,
sen,dream,dɹˈiːm,A1,dream,1,402,,
oblékat,dress,dɹˈɛs,A2,dress,1,403,,
šaty,dress,dɹˈɛs,A1,dress,1,404,,
mlha,fog,fˈɑːɡ,A2,fog,1,405,,
mlhavo,foggy,fˈɑːɡi,A1,foggy,1,406,,
soustředit,focus,fˈoʊkəs,A1,focus,1,407,,
létat,fly,flˈaɪ,A1,fly,1,408,,
moucha,fly,flˈaɪ,A1,fly,1,409,,
květina,flower,flˈaʊɚ,A1,flower,1,410,,
patro,floor,flˈɔːɹ,A1,floor,1,411,,
plochý,flat,flˈæt,B2,flat,1,412,,
byt,flat,flˈæt,A1,flat,1,413,,
vlajka,flag,flˈæɡ,A1,flag,1,414,,
rybaření,fishing,fˈɪʃɪŋ,A1,fishing,1,415,,
nejprve,first,fˈɜːst,A1,first,1,416,,
následovat,follow,fˈɑːloʊ,A2,follow,1,417,,
následující,following,fˈɑːloʊɪŋ,A1,following,1,418,,
dokončit,finish,fˈɪnɪʃ,A1,finish,1,419,,
konec,finish,fˈɪnɪʃ,A1,finish,1,420,,
povrch,finish,fˈɪnɪʃ,A1,finish,1,421,,
dobře,fine,fˈaɪn,A1,fine,1,422,,
nalézt,find,fˈaɪnd,A1,find,1,423,,
vyplnit,fill,fˈɪl,A1,fill,1,424,,
založit,file,fˈaɪl,B2,file,1,425,,
soubor,file,fˈaɪl,A1,file,1,426,,
bojovat,fight,fˈaɪt,B1,fight,1,427,,
boj,fight,fˈaɪt,A1,fight,1,428,,
pole,field,fˈiːld,A1,field,1,429,,
horečka,fever,fˈiːvɚ,A1,fever,1,430,,
festival,festival,fˈɛstɪvəl,A1,festival,1,431,,
oheň,fire,fˈaɪɚ,A1,fire,1,432,,
cítit,feel,fˈiːl,A2,feel,1,433,,
pocit,feel,fˈiːl,A1,feel,1,434,,
pocit,feeling,fˈiːlɪŋ,A1,feeling,1,435,,
jídlo,food,fˈuːd,A1,food,1,436,,
pro,for,fˈɔːɹ,A1,for,1,437,,
dívka,girl,ɡˈɜːl,A1,girl,1,438,,
přítel,friend,fɹˈɛnd,A1,friend,1,439,,
přítelkyně,girlfriend,ɡˈɜːlfɹɛnd,A1,girlfriend,1,440,,
dárek,gift,ɡˈɪft,A1,gift,1,441,,
duch,ghost,ɡˈoʊst,A1,ghost,1,442,,
získat,get,ɡˈɛt,A1,get,1,443,,
zahrada,garden,ɡˈɑːɹdən,A1,garden,1,444,,
odpadky,garbage,ɡˈɑːɹbɪdʒ,A1,garbage,1,445,,
hra,game,ɡˈeɪm,A1,game,1,446,,
budoucí,future,fjˈuːtʃɚ,A1,future,1,447,,
budoucnost,future,fjˈuːtʃɚ,B1,future,1,448,,
zábava,fun,fˈʌn,A1,fun,1,449,,
legrační,funny,fˈʌni,A1,funny,1,450,,
míč,ball,bˈɔːl,A1,ball,1,451,,
fotbal,football,fˈʊtbɔːl,A1,football,1,452,,
ovoce,fruit,fɹˈuːt,A1,fruit,1,453,,
žába,frog,fɹˈɑːɡ,A1,frog,1,454,,
uvolnit,free,fɹˈiː,A2,free,1,455,,
svobodný,free,fɹˈiː,A1,free,1,456,,
zdarma,free,fɹˈiː,B2,free,1,457,,
náctiletý,teen,tˈiːn,B1,teen,1,458,,
formulář,form,fˈɔːɹm,A1,form,1,459,,
zapomenout,forget,fɚɡˈɛt,A1,forget,1,460,,
zahraniční,foreign,fˈɔːɹən,A1,foreign,1,461,,
cizinec,foreigner,fˈɔːɹənɚ,A1,foreigner,1,462,,
přední,front,fɹˈʌnt,A1,front,1,463,,
krmit,feed,fˈiːd,A1,feed,1,464,,
krmivo,feed,fˈiːd,B1,feed,1,465,,
užívat si,enjoy,ɛndʒˈɔɪ,A1,enjoy,1,466,,
inženýr,engineer,ˌɛndʒɪnˈɪɹ,A1,engineer,1,467,,
ukončit,end,ˈɛnd,A2,end,1,468,,
konec,end,ˈɛnd,A1,end,1,469,,
jiný,else,ˈɛls,A1,else,1,470,,
základní,elementary,ˌɛlɪmˈɛntɚɹi,A1,elementary,1,471,,
kterýkoliv (ze dvou),either,ˈiːðɚ,A1,either,1,472,,
žádný (ze dvou),either,ˈiːðɚ,A2,either,1,473,,
vejce,egg,ˈɛɡ,A1,egg,1,474,,
jíst,eat,ˈiːt,A1,eat,1,475,,
snadný,easy,ˈiːzi,A1,easy,1,476,,
ucho,ear,ˈɪɹ,A1,ear,1,477,,
každý,each,ˈiːtʃ,A1,each,1,478,,
