czech,english,pronunciation,cefr_level,audio,language,item_order,category,block_number
ahoj,hello,həlˈoʊ,A1,hello,1,95,,
těžký,heavy,hˈɛvi,A1,heavy,1,96,,
srdce,heart,hˈɑːɹt,A1,heart,1,97,,
slyšet,hear,hˈɪɹ,A1,hear,1,98,,
zdraví,health,hˈɛlθ,A1,health,1,100,,
zdravý,healthy,hˈɛlθi,A1,healthy,1,99,,
hlava,head,hˈɛd,A1,head,1,102,,
řídit (organizaci),head,hˈɛd,A2,head,1,1883,,
bolest,ache,ˈeɪk,B1,ache,1,4185,,
bolest hlavy,headache,hˈɛdeɪk,A1,headache,1,101,,
čepice,hat,hˈæt,A1,hat,1,106,,
tvrdý,hard,hˈɑːɹd,A1,hard,1,108,,
náročný,hard,hˈɑːɹd,A1,hard,1,109,,
šťastný,happy,hˈæpi,A1,happy,1,110,,
stát se,happen,hˈæpən,A1,happen,1,111,,
ruka,hand,hˈænd,A1,hand,1,113,,
hezký (muž),handsome,hˈændsʌm,A1,handsome,1,112,,
hamburger,hamburger,hˈæmbɜːɡɚ,A1,hamburger,1,114,,
sál,hall,hˈɔːl,A1,hall,1,115,,
sekat,cut,kˈʌt,A1,cut,1,248,,
střih,cut,kˈʌt,B1,cut,1,3859,,
sestřih (vlasů),haircut,hˈɛɹkʌt,A1,haircut,1,117,,
skákat,jump,dʒˈʌmp,B2,jump,1,7552,,
skok,jump,dʒˈʌmp,A1,jump,1,119,,
jen,just,dʒˈʌst,A1,just,1,121,,
minuta,minute,mˈɪnɪt,A1,minute,1,122,,
moje,mine,mˈaɪn,A1,mine,1,123,,
mysl,mind,mˈaɪnd,A1,mind,1,124,,
mléko,milk,mˈɪlk,A1,milk,1,125,,
střední,middle,mˈɪdəl,A1,middle,1,126,,
zpráva,message,mˈɛsɪdʒ,A1,message,1,127,,
veselý,merry,mˈɛɹi,A1,merry,1,128,,
paměť,memory,mˈɛmɚɹi,A1,memory,1,129,,
setkat se,meet,mˈiːt,A1,meet,1,131,,
jednání,meeting,mˈiːɾɪŋ,A1,meeting,1,130,,
lék,medicine,mˈɛdəsən,A1,medicine,1,132,,
maso,meat,mˈiːt,A1,meat,1,133,,
minout,miss,mˈɪs,A1,miss,1,150,,
slečna,Miss,mˈɪs,A1,miss,1,134,,
střední,mean,mˈiːn,A1,mean,1,135,,
může,may,mˈeɪ,A1,may,1,139,,
být,be,bˈiː,A1,be,1,1025,,
hmota,matter,mˈæɾɚ,A1,matter,1,140,,
záležitost,matter,mˈæɾɚ,A2,matter,1,2355,,
matematika,maths,mˈæθs,A1,maths,1,141,,
zápasit,match,mˈætʃ,B1,match,1,3181,,
zápas,match,mˈætʃ,A1,match,1,142,,
mapa,map,mˈæp,A1,map,1,144,,
mnoho,many,mˈɛni,A1,many,1,145,,
udělat,make,mˈeɪk,A1,make,1,147,,
jídlo,meal,mˈiːl,A1,meal,1,148,,
pošta,mail,mˈeɪl,A1,mail,1,149,,
pohyblivý,mobile,mˈoʊbəl,A1,mobile,1,164,,
telefonovat,phone,fˈoʊn,A1,phone,1,731,,
telefon,phone,fˈoʊn,A1,phone,1,732,,
mobilní telefon,mobile phone,mˈoʊbəl fˈoʊn,A1,mobile_phone,1,151,,
jmenovat,name,nˈeɪm,B1,name,1,3469,,
jméno,name,nˈeɪm,A1,name,1,152,,
hudba,music,mjˈuːzɪk,A1,music,1,156,,
hudebník,musician,mjuːzˈɪʃən,A1,musician,1,155,,
maminka,mum,mˈʌm,A1,mum,1,157,,
mnoho,much,mˈʌtʃ,A1,much,1,158,,
paní,Mrs,mˈɪsɪz,A1,mrs,1,159,,
pan,Mr,mˈɪstɚ,A1,mr,1,160,,
film,movie,mˈuːvi,A1,movie,1,161,,
pohybovat,move,mˈuːv,A2,move,1,2048,,
pohyb,move,mˈuːv,A1,move,1,162,,
ústa,mouth,mˈaʊθ,A1,mouth,1,163,,
většina,most,mˈoʊst,A1,most,1,167,,
více,more,mˈɔːɹ,A1,more,1,169,,
měsíc (na obloze),moon,mˈuːn,A1,moon,1,170,,
měsíc (kalendářní),month,mˈʌnθ,A1,month,1,171,,
opice,monkey,mˈʌŋki,A1,monkey,1,172,,
peníze,money,mˈʌni,A1,money,1,173,,
maminka,mommie,mˈɑːmi,A1,mommie,1,175,,
okamžik,moment,mˈoʊmənt,A1,moment,1,176,,
maminka,mom,mˈɑːm,A1,mom,1,177,,
hora,mountain,mˈaʊntɪn,A1,mountain,1,178,,
časopis,magazine,mˌæɡɐzˈiːn,A1,magazine,1,179,,
stroj,machine,məʃˈiːn,A1,machine,1,180,,
učit se,learn,lˈɜːn,A1,learn,1,182,,
list (na stromě),leaf,lˈiːf,A1,leaf,1,183,,
vést,lead,lˈiːd,A2,lead,1,1415,,
vůdce,leader,lˈiːdɚ,A1,leader,1,184,,
líný,lazy,lˈeɪzi,A1,lazy,1,185,,
smát se,laugh,lˈæf,A1,laugh,1,186,,
smích,laugh,lˈæf,B1,laugh,1,2980,,
pozdě,late,lˈeɪt,A1,late,1,189,,
později,later,lˈeɪɾɚ,A1,later,1,187,,
poslední,last,lˈæst,A2,last,1,1449,,
příjmení,last name,lˈæst nˈeɪm,A1,last_name,1,190,,
velký,large,lˈɑːɹdʒ,A1,large,1,191,,
jazyk,language,lˈæŋɡwɪdʒ,A1,language,1,192,,
dáma,lady,lˈeɪdi,A1,lady,1,193,,
opustit,leave,lˈiːv,A1,leave,1,194,,
vědět,know,nˈoʊ,A1,know,1,195,,
koleno,knee,nˈiː,A1,knee,1,196,,
papírový drak,kite,kˈaɪt,A1,kite,1,197,,
kuchyně,kitchen,kˈɪtʃən,A1,kitchen,1,198,,
políbit,kiss,kˈɪs,B1,kiss,1,3052,,
polibek,kiss,kˈɪs,A1,kiss,1,199,,
král,king,kˈɪŋ,A1,king,1,200,,
laskavý,kind,kˈaɪnd,A1,kind,1,201,,
zabít,kill,kˈɪl,A1,kill,1,202,,
dítě,kid,kˈɪd,A1,kid,1,203,,
kopnout,kick,kˈɪk,A1,kick,1,204,,
kop,kick,kˈɪk,A1,kick,1,205,,
klíč,key,kˈiː,A1,key,1,206,,
zachovat,keep,kˈiːp,A1,keep,1,207,,
vlevo,left,lˈɛft,A1,left,1,209,,
noha,leg,lˈɛɡ,A1,leg,1,210,,
lekce,lesson,lˈɛsən,A1,lesson,1,211,,
oběd,lunch,lˈʌntʃ,A1,lunch,1,212,,
čas,time,tˈaɪm,A1,time,1,525,,
čas oběda,lunchtime,lˈʌntʃtaɪm,A2,lunchtime,1,1313,,
štěstí,luck,lˈʌk,A1,luck,1,214,,
mít štěstí,lucky,lˈʌki,A1,lucky,1,213,,
milovat,love,lˈʌv,A1,love,1,216,,
láska,love,lˈʌv,A1,love,1,217,,
půvabný,lovely,lˈʌvli,A1,lovely,1,215,,
milenec,lover,lˈʌvɚ,A2,lover,1,1301,,
hodně,lot,lˈɑːt,A1,lot,1,218,,
dívat se,look,lˈʊk,A1,look,1,219,,
vzhled,look,lˈʊk,A1,look,1,965,,
dlouhý,long,lˈɔŋ,A1,long,1,220,,
dlouho,long,lˈɔŋ,A2,long,1,1320,,
osamělý,lonely,lˈoʊnli,A1,lonely,1,221,,
žít,live,lˈaɪv,B1,live,1,3287,,
živý,live,lˈaɪv,A1,live,1,224,,
živobytí,living,lˈɪvɪŋ,A1,living,1,223,,
pokoj,room,ɹˈuːm,A1,room,1,957,,
obývací pokoj,living room,lˈɪvɪŋ ɹˈuːm,A1,living_room,1,222,,
malý,little,lˈɪɾəl,B1,little,1,3256,,
málo,little,lˈɪɾəl,A1,little,1,225,,
poslouchat,listen,lˈɪsən,A1,listen,1,226,,
vypsat,list,lˈɪst,B2,list,1,7374,,
seznam,list,lˈɪst,A1,list,1,227,,
lev,lion,lˈaɪən,A1,lion,1,228,,
řádka,line,lˈaɪn,B2,line,1,7369,,
nařádkovat,line,lˈaɪn,A1,line,1,229,,
lilie,lily,lˈɪli,A1,lily,1,230,,
mít rád,like,lˈaɪk,A1,like,1,231,,
jako,like,lˈaɪk,A1,like,1,232,,
světlý,light,lˈaɪt,A1,light,1,233,,
světlo,light,lˈaɪt,A1,light,1,234,,
rozsvítit,light,lˈaɪt,B1,light,1,3255,,
knihovna,library,lˈaɪbɹɛɹi,A1,library,1,236,,
dopis,letter,lˈɛɾɚ,A1,letter,1,237,,
nechat,let,lˈɛt,A1,let,1,238,,
sklo,glass,ɡlˈæs,A1,glass,1,241,,
národ,nation,nˈeɪʃən,A2,nation,1,2265,,
národní,national,nˈæʃənəl,A2,national,1,2269,,
národnost,nationality,nˌæʃənˈælᵻɾi,A1,nationality,1,240,,
dát,give,ɡˈɪv,A1,give,1,242,,
tancovat,dance,dˈæns,A1,dance,1,243,,
tanec,dance,dˈæns,A1,dance,1,244,,
táta,dad,dˈæd,A1,dad,1,246,,
tatínek,daddy,dˈædi,A1,daddy,1,245,,
roztomilý,cute,kjˈuːt,A1,cute,1,247,,
pohár,cup,kˈʌp,A1,cup,1,249,,
kultura,culture,kˈʌltʃɚ,A1,culture,1,250,,
plakat,cry,kɹˈaɪ,A1,cry,1,251,,
výkřik,cry,kɹˈaɪ,A2,cry,1,1267,,
karta,card,kˈɑːɹd,A1,card,1,328,,
kredit,credit,kɹˈɛdɪt,A2,credit,1,1195,,
kreditní karta,credit card,kɹˈɛdɪt kˈɑːɹd,A1,credit_card,1,252,,
kráva,cow,kˈaʊ,A1,cow,1,254,,
pokrýt,cover,kˈʌvɚ,A1,cover,1,256,,
kurs,course,kˈɔːɹs,A1,course,1,257,,
gauč,couch,kˈaʊtʃ,A1,couch,1,259,,
opravit,correct,kɚɹˈɛkt,A1,correct,1,260,,
správný,correct,kɚɹˈɛkt,B2,correct,1,6667,,
správně,correctly,kɚɹˈɛktli,A2,correctly,1,1442,,
roh,corner,kˈɔːɹnɚ,A1,corner,1,261,,
kukuřice,corn,kˈɔːɹn,A1,corn,1,262,,
kopírovat,copy,kˈɑːpi,A2,copy,1,1448,,
kopie,copy,kˈɑːpi,A1,copy,1,263,,
policajt,cop,kˈɑːp,A1,cop,1,264,,
ochladit,cool,kˈuːl,A1,cool,1,265,,
chladný,cool,kˈuːl,B2,cool,1,6393,,
chladič,cooler,kˈuːlɚ,A2,cooler,1,1450,,
vařit,cook,kˈʊk,A1,cook,1,268,,
kuchař,cook,kˈʊk,A1,cook,1,267,,
vaření,cooking,kˈʊkɪŋ,A2,cooking,1,1451,,
sušenka,cookie,kˈʊki,A1,cookie,1,266,,
bratranec,cousin,kˈʌzən,A1,cousin,1,269,,
sestřenice,cousin,kˈʌzən,A1,cousin,1,269,,
hovořit,converse,kˈɑːnvɜːs,C2,converse,1,8773,,
rozhovor,conversation,kɑːnvɚsˈeɪʃən,A1,conversation,1,270,,
tmavý,dark,dˈɑːɹk,A1,dark,1,271,,
dcera,daughter,dˈɔːɾɚ,A1,daughter,1,272,,
dolů,down,dˈaʊn,A1,down,1,273,,
dole,down,dˈaʊn,B2,down,1,6043,,
na zemi,down,dˈaʊn,A2,down,1,1789,,
dveře,door,dˈɔːɹ,A1,door,1,274,,
dolar,dollar,dˈɑːlɚ,A1,dollar,1,275,,
panenka,doll,dˈɑːl,A1,doll,1,276,,
dělat,do,dˈuː,A1,do,1,280,,
dělá,does,dˈʌz,A1,does,1,279,,
dělání,doing,dˈuːɪŋ,A1,doing,1,277,,
pes,dog,dˈɑːɡ,A1,dog,1,278,,
jídlo,dish,dˈɪʃ,A1,dish,1,281,,
diskutovat,discuss,dɪskˈʌs,A1,discuss,1,282,,
špína,dirt,dˈɜːt,B1,dirt,1,4802,,
špinavý,dirty,dˈɜːɾi,A1,dirty,1,283,,
večeře,dinner,dˈɪnɚ,A1,dinner,1,284,,
datum,date,dˈeɪt,A1,date,1,285,,
jídelna,dining room,dˈaɪnɪŋ ɹˈuːm,A1,dining_room,1,286,,
obtížný,difficult,dˈɪfɪkəlt,A1,difficult,1,287,,
jiný,different,dˈɪfɹənt,A1,different,1,288,,
rozdíl,difference,dˈɪfɹəns,A1,difference,1,289,,
slovník,dictionary,dˈɪkʃənˌɛɹi,A1,dictionary,1,291,,
stůl,desk,dˈɛsk,A1,desk,1,292,,
navrhovat,design,dɪzˈaɪn,B1,design,1,4839,,
design,design,dɪzˈaɪn,A1,design,1,293,,
popsat,describe,dᵻskɹˈaɪb,A1,describe,1,294,,
vynikající,delicious,dᵻlˈɪʃəs,A1,delicious,1,295,,
milý,dear,dˈɪɹ,A1,dear,1,297,,
kopat,dig,dˈɪɡ,A1,dig,1,299,,
vykopávka,dig,dˈɪɡ,B1,dig,1,4749,,
drama,drama,dɹˈɑːmə,A1,drama,1,300,,
soutěžit,contest,kˈɑːntɛst,C1,contest,1,8234,,
soutěž,contest,kˈɑːntɛst,A1,contest,1,301,,
vypočítat,compute,kəmpjˈuːt,B2,compute,1,6339,,
počítač,computer,kəmpjˈuːɾɚ,A1,computer,1,302,,
kino,cinema,sˈɪnəmə,A1,cinema,1,303,,
kostel,church,tʃˈɜːtʃ,A1,church,1,304,,
vybrat,choose,tʃˈuːz,A1,choose,1,305,,
čokoláda,chocolate,tʃˈɑːklət,A1,chocolate,1,306,,
kuře,chicken,tʃˈɪkɪn,A1,chicken,1,308,,
sýr,cheese,tʃˈiːz,A1,cheese,1,309,,
kontrola,check,tʃˈɛk,A1,check,1,310,,
charakter,character,kˈæɹɪktɚ,A1,character,1,311,,
změnit,change,tʃˈeɪndʒ,A1,change,1,313,,
drobné (mince),change,tʃˈeɪndʒ,A1,change,1,312,,
židle,chair,tʃˈɛɹ,A1,chair,1,314,,
kruh,circle,sˈɜːkəl,A1,circle,1,315,,
kroužit,circle,sˈɜːkəl,B1,circle,1,3812,,
slavit,celebrate,sˈɛləbɹˌeɪt,A1,celebrate,1,329,,
oslava,celebration,sˌɛləbɹˈeɪʃən,A1,celebration,1,316,,
hrát,play,plˈeɪ,A1,play,1,777,,
hra,play,plˈeɪ,A1,play,1,778,,
hráč,player,plˈeɪɚ,A1,player,1,776,,
CD,CD,sˌiːdˈiː,A1,cd,1,318,,
CD přehrávač,CD player,sˌiːdˈiː plˈeɪɚ,A1,cd_player,1,317,,
chytit,catch,kˈætʃ,A1,catch,1,319,,
úlovek,catch,kˈætʃ,A1,catch,1,320,,
kočka,cat,kˈæt,A1,cat,1,321,,
věc,case,kˈeɪs,A1,case,1,322,,
kreslený film,cartoon,kɑːɹtˈuːn,A1,cartoon,1,323,,
nést,carry,kˈæɹi,A1,carry,1,324,,
pečovat,care,kˈɛɹ,A1,care,1,327,,
péče,care,kˈɛɹ,B1,care,1,4138,,
plný,full,fˈʊl,A1,full,1,404,,
opatrný,careful,kˈɛɹfəl,A1,careful,1,326,,
opatrně,carefully,kˈɛɹfəli,A1,carefully,1,325,,
koncert,concert,kˈɑːnsɚt,A1,concert,1,330,,
město,city,sˈɪɾi,A1,city,1,331,,
třída,class,klˈæs,A1,class,1,345,,
školní přednáška,class,klˈæs,C1,class,1,7995,,
spolužák,classmate,klˈæsmeɪt,A1,classmate,1,332,,
přijít,come,kˈʌm,A1,come,1,333,,
barva,colour,kˈʌlɚ,A1,colour,1,334,,
vysoká škola,college,kˈɑːlɪdʒ,A1,college,1,335,,
sbírat,collect,kəlˈɛkt,A1,collect,1,337,,
sbírka,collection,kəlˈɛkʃən,A1,collection,1,336,,
nachlazení,cold,kˈoʊld,A1,cold,1,338,,
studený,cold,kˈoʊld,A1,cold,1,339,,
koks,coke,kˈoʊk,A1,coke,1,340,,
káva,coffee,kˈɔfi,A1,coffee,1,341,,
kód,code,kˈoʊd,A1,code,1,342,,
kabát,coat,kˈoʊt,A1,coat,1,343,,
trénovat,coach,kˈoʊtʃ,B2,coach,1,6493,,
trenér,coach,kˈoʊtʃ,A1,coach,1,344,,
klub,club,klˈʌb,A1,club,1,346,,
mrak,cloud,klˈaʊd,A1,cloud,1,347,,
tkanina,cloth,klˈɔθ,A1,cloth,1,349,,
oblečení,clothes,klˈoʊðz,A1,clothes,1,348,,
zavřít,close,klˈoʊs,A1,close,1,351,,
blízko,close,klˈoʊs,A1,close,1,352,,
zavřeno,closed,klˈoʊzd,A1,closed,1,350,,
hodiny,clock,klˈɑːk,A1,clock,1,353,,
stoupat,climb,klˈaɪm,A1,climb,1,354,,
lezení,climbing,klˈaɪmɪŋ,A2,climbing,1,1309,,
horolezec,climber,klˈaɪmɚ,B1,climber,1,3786,,
chytrý,clever,klˈɛvɚ,A1,clever,1,355,,
čistit,clean,klˈiːn,A1,clean,1,356,,
čistý,clean,klˈiːn,A1,clean,1,357,,
třída,classroom,klˈæsɹuːm,A1,classroom,1,358,,
zataženo,cloudy,klˈaʊdi,A1,cloudy,1,359,,
kreslit,draw,dɹˈɔː,A1,draw,1,360,,
snít,dream,dɹˈiːm,A2,dream,1,1798,,
sen,dream,dɹˈiːm,A1,dream,1,361,,
oblékat,dress,dɹˈɛs,A2,dress,1,1797,,
šaty,dress,dɹˈɛs,A1,dress,1,362,,
mlha,fog,fˈɑːɡ,A2,fog,1,1646,,
mlhavo,foggy,fˈɑːɡi,A1,foggy,1,363,,
soustředit,focus,fˈoʊkəs,A1,focus,1,364,,
létat,fly,flˈaɪ,A1,fly,1,365,,
moucha,fly,flˈaɪ,A1,fly,1,366,,
květina,flower,flˈaʊɚ,A1,flower,1,367,,
patro,floor,flˈɔːɹ,A1,floor,1,368,,
plochý,flat,flˈæt,B2,flat,1,6309,,
byt,flat,flˈæt,A1,flat,1,369,,
vlajka,flag,flˈæɡ,A1,flag,1,370,,
rybaření,fishing,fˈɪʃɪŋ,A1,fishing,1,372,,
nejprve,first,fˈɜːst,A1,first,1,374,,
následovat,follow,fˈɑːloʊ,A2,follow,1,1644,,
následující,following,fˈɑːloʊɪŋ,A1,following,1,375,,
dokončit,finish,fˈɪnɪʃ,A1,finish,1,377,,
konec,finish,fˈɪnɪʃ,A1,finish,1,378,,
povrch,finish,fˈɪnɪʃ,A1,finish,1,378,,
dobře,fine,fˈaɪn,A1,fine,1,379,,
nalézt,find,fˈaɪnd,A1,find,1,380,,
vyplnit,fill,fˈɪl,A1,fill,1,381,,
založit,file,fˈaɪl,B2,file,1,6232,,
soubor,file,fˈaɪl,A1,file,1,382,,
bojovat,fight,fˈaɪt,B1,fight,1,4707,,
boj,fight,fˈaɪt,A1,fight,1,383,,
pole,field,fˈiːld,A1,field,1,386,,
horečka,fever,fˈiːvɚ,A1,fever,1,387,,
festival,festival,fˈɛstɪvəl,A1,festival,1,388,,
oheň,fire,fˈaɪɚ,A1,fire,1,389,,
cítit,feel,fˈiːl,A2,feel,1,1711,,
pocit,feel,fˈiːl,A1,feel,1,420,,
pocit,feeling,fˈiːlɪŋ,A1,feeling,1,390,,
jídlo,food,fˈuːd,A1,food,1,391,,
pro,for,fˈɔːɹ,A1,for,1,392,,
dívka,girl,ɡˈɜːl,A1,girl,1,394,,
přítel,friend,fɹˈɛnd,A1,friend,1,409,,
přítelkyně,girlfriend,ɡˈɜːlfɹɛnd,A1,girlfriend,1,393,,
dárek,gift,ɡˈɪft,A1,gift,1,395,,
duch,ghost,ɡˈoʊst,A1,ghost,1,396,,
získat,get,ɡˈɛt,A1,get,1,397,,
zahrada,garden,ɡˈɑːɹdən,A1,garden,1,398,,
odpadky,garbage,ɡˈɑːɹbɪdʒ,A1,garbage,1,399,,
hra,game,ɡˈeɪm,A1,game,1,400,,
budoucí,future,fjˈuːtʃɚ,A1,future,1,401,,
budoucnost,future,fjˈuːtʃɚ,B1,future,1,2774,,
zábava,fun,fˈʌn,A1,fun,1,403,,
legrační,funny,fˈʌni,A1,funny,1,402,,
míč,ball,bˈɔːl,A1,ball,1,1010,,
fotbal,football,fˈʊtbɔːl,A1,football,1,405,,
ovoce,fruit,fɹˈuːt,A1,fruit,1,406,,
žába,frog,fɹˈɑːɡ,A1,frog,1,408,,
uvolnit,free,fɹˈiː,A2,free,1,1678,,
svobodný,free,fɹˈiː,A1,free,1,411,,
zdarma,free,fɹˈiː,B2,free,1,6198,,
náctiletý,teen,tˈiːn,B1,teen,1,4277,,
formulář,form,fˈɔːɹm,A1,form,1,415,,
zapomenout,forget,fɚɡˈɛt,A1,forget,1,416,,
zahraniční,foreign,fˈɔːɹən,A1,foreign,1,418,,
cizinec,foreigner,fˈɔːɹənɚ,A1,foreigner,1,417,,
přední,front,fɹˈʌnt,A1,front,1,419,,
krmit,feed,fˈiːd,A1,feed,1,421,,
krmivo,feed,fˈiːd,B1,feed,1,4724,,
užívat si,enjoy,ɛndʒˈɔɪ,A1,enjoy,1,423,,
inženýr,engineer,ˌɛndʒɪnˈɪɹ,A1,engineer,1,424,,
ukončit,end,ˈɛnd,A2,end,1,1886,,
konec,end,ˈɛnd,A1,end,1,425,,
jiný,else,ˈɛls,A1,else,1,426,,
základní,elementary,ˌɛlɪmˈɛntɚɹi,A1,elementary,1,428,,
kterýkoliv (ze dvou),either,ˈiːðɚ,A1,either,1,429,,
žádný (ze dvou),either,ˈiːðɚ,A2,either,1,1979,,
vejce,egg,ˈɛɡ,A1,egg,1,433,,
jíst,eat,ˈiːt,A1,eat,1,434,,
snadný,easy,ˈiːzi,A1,easy,1,436,,
